DATASET_HEATMAP
SEPARATOR COMMA
DATASET_LABEL,num_STP_in_cgc
COLOR,#ff0000
STRIP_WIDTH,70
FIELD_LABELS,num_STP_in_cgc
COLOR_MIN,#eeeeee
COLOR_MAX,#3d85c6
BORDER_WIDTH,1
BORDER_COLOR,#000000
AUTO_LEGEND,0
LABEL_SHIFT,5
DATA
MGYG000000013,25
MGYG000000029,13
MGYG000000054,10
MGYG000000057,3
MGYG000000098,9
MGYG000000105,6
MGYG000000196,19
MGYG000000211,20
MGYG000000224,6
MGYG000000236,14
MGYG000000265,14
MGYG000000652,5
MGYG000000675,22
MGYG000000788,5
MGYG000001313,9
MGYG000001314,4
MGYG000001337,17
MGYG000001345,19
MGYG000001346,5
MGYG000001370,7
MGYG000001378,31
MGYG000001422,21
MGYG000001433,18
MGYG000001461,10
MGYG000001661,5
MGYG000002273,15
MGYG000002281,20
MGYG000002300,6
MGYG000002455,17
MGYG000002470,14
MGYG000002549,17
MGYG000002561,7
MGYG000002621,6
MGYG000003064,13
MGYG000003252,29
MGYG000003312,17
MGYG000003351,11
MGYG000003363,13
MGYG000003367,11
MGYG000003681,9
MGYG000003922,8
MGYG000004019,10
MGYG000004185,6
MGYG000004676,6
MGYG000004899,16
