DATASET_HEATMAP
SEPARATOR COMMA
DATASET_LABEL,num_null_in_cgc
COLOR,#ff0000
STRIP_WIDTH,70
FIELD_LABELS,num_null_in_cgc
COLOR_MIN,#eeeeee
COLOR_MAX,#3d85c6
BORDER_WIDTH,1
BORDER_COLOR,#000000
AUTO_LEGEND,0
LABEL_SHIFT,5
DATA
MGYG000000013,240
MGYG000000029,172
MGYG000000054,122
MGYG000000057,110
MGYG000000098,86
MGYG000000105,134
MGYG000000196,219
MGYG000000211,237
MGYG000000224,108
MGYG000000236,147
MGYG000000265,179
MGYG000000652,79
MGYG000000675,171
MGYG000000788,65
MGYG000001313,151
MGYG000001314,34
MGYG000001337,161
MGYG000001345,204
MGYG000001346,141
MGYG000001370,129
MGYG000001378,220
MGYG000001422,295
MGYG000001433,173
MGYG000001461,145
MGYG000001661,143
MGYG000002273,179
MGYG000002281,165
MGYG000002300,105
MGYG000002455,234
MGYG000002470,199
MGYG000002549,150
MGYG000002561,137
MGYG000002621,100
MGYG000003064,130
MGYG000003252,237
MGYG000003312,125
MGYG000003351,153
MGYG000003363,117
MGYG000003367,118
MGYG000003681,111
MGYG000003922,85
MGYG000004019,93
MGYG000004185,72
MGYG000004676,44
MGYG000004899,186
