DATASET_HEATMAP
SEPARATOR COMMA
DATASET_LABEL,num_cazyme_in_cgc
COLOR,#ff0000
STRIP_WIDTH,70
FIELD_LABELS,num_cazyme_in_cgc
COLOR_MIN,#eeeeee
COLOR_MAX,#3d85c6
BORDER_WIDTH,1
BORDER_COLOR,#000000
AUTO_LEGEND,0
LABEL_SHIFT,5
DATA
MGYG000000013,348
MGYG000000029,231
MGYG000000054,156
MGYG000000057,141
MGYG000000098,118
MGYG000000105,157
MGYG000000196,257
MGYG000000211,345
MGYG000000224,148
MGYG000000236,180
MGYG000000265,224
MGYG000000652,100
MGYG000000675,258
MGYG000000788,71
MGYG000001313,174
MGYG000001314,34
MGYG000001337,182
MGYG000001345,266
MGYG000001346,213
MGYG000001370,152
MGYG000001378,336
MGYG000001422,409
MGYG000001433,225
MGYG000001461,150
MGYG000001661,176
MGYG000002273,272
MGYG000002281,231
MGYG000002300,130
MGYG000002455,369
MGYG000002470,293
MGYG000002549,186
MGYG000002561,190
MGYG000002621,161
MGYG000003064,185
MGYG000003252,366
MGYG000003312,166
MGYG000003351,220
MGYG000003363,153
MGYG000003367,161
MGYG000003681,126
MGYG000003922,111
MGYG000004019,110
MGYG000004185,99
MGYG000004676,38
MGYG000004899,276
