DATASET_HEATMAP
SEPARATOR COMMA
DATASET_LABEL,num_TF_in_cgc
COLOR,#ff0000
STRIP_WIDTH,70
FIELD_LABELS,num_TF_in_cgc
COLOR_MIN,#eeeeee
COLOR_MAX,#3d85c6
BORDER_WIDTH,1
BORDER_COLOR,#000000
AUTO_LEGEND,0
LABEL_SHIFT,5
DATA
MGYG000000013,23
MGYG000000029,13
MGYG000000054,8
MGYG000000057,9
MGYG000000098,5
MGYG000000105,18
MGYG000000196,25
MGYG000000211,32
MGYG000000224,14
MGYG000000236,11
MGYG000000265,16
MGYG000000652,6
MGYG000000675,23
MGYG000000788,4
MGYG000001313,16
MGYG000001314,2
MGYG000001337,14
MGYG000001345,16
MGYG000001346,18
MGYG000001370,14
MGYG000001378,34
MGYG000001422,42
MGYG000001433,13
MGYG000001461,13
MGYG000001661,20
MGYG000002273,16
MGYG000002281,25
MGYG000002300,9
MGYG000002455,41
MGYG000002470,25
MGYG000002549,9
MGYG000002561,23
MGYG000002621,18
MGYG000003064,18
MGYG000003252,35
MGYG000003312,12
MGYG000003351,9
MGYG000003363,16
MGYG000003367,11
MGYG000003681,10
MGYG000003922,8
MGYG000004019,10
MGYG000004185,9
MGYG000004676,4
MGYG000004899,32
