DATASET_HEATMAP
SEPARATOR COMMA
DATASET_LABEL,num_TC_in_cgc
COLOR,#ff0000
STRIP_WIDTH,70
FIELD_LABELS,num_TC_in_cgc
COLOR_MIN,#eeeeee
COLOR_MAX,#3d85c6
BORDER_WIDTH,1
BORDER_COLOR,#000000
AUTO_LEGEND,0
LABEL_SHIFT,5
DATA
MGYG000000013,247
MGYG000000029,161
MGYG000000054,129
MGYG000000057,112
MGYG000000098,116
MGYG000000105,139
MGYG000000196,208
MGYG000000211,229
MGYG000000224,134
MGYG000000236,161
MGYG000000265,194
MGYG000000652,83
MGYG000000675,204
MGYG000000788,70
MGYG000001313,135
MGYG000001314,40
MGYG000001337,186
MGYG000001345,213
MGYG000001346,144
MGYG000001370,125
MGYG000001378,246
MGYG000001422,263
MGYG000001433,178
MGYG000001461,156
MGYG000001661,139
MGYG000002273,182
MGYG000002281,193
MGYG000002300,121
MGYG000002455,230
MGYG000002470,199
MGYG000002549,168
MGYG000002561,156
MGYG000002621,105
MGYG000003064,143
MGYG000003252,267
MGYG000003312,148
MGYG000003351,152
MGYG000003363,118
MGYG000003367,134
MGYG000003681,111
MGYG000003922,104
MGYG000004019,110
MGYG000004185,97
MGYG000004676,65
MGYG000004899,215
