DATASET_HEATMAP
SEPARATOR COMMA
DATASET_LABEL,num_CAZyme
COLOR,#ff0000
STRIP_WIDTH,70
FIELD_LABELS,num_CAZyme
COLOR_MIN,#eeeeee
COLOR_MAX,#3d85c6
BORDER_WIDTH,1
BORDER_COLOR,#000000
AUTO_LEGEND,0
LABEL_SHIFT,5
DATA
MGYG000000013,459
MGYG000000029,309
MGYG000000054,276
MGYG000000057,212
MGYG000000098,233
MGYG000000105,225
MGYG000000196,404
MGYG000000211,450
MGYG000000224,219
MGYG000000236,264
MGYG000000265,314
MGYG000000652,162
MGYG000000675,413
MGYG000000788,114
MGYG000001313,247
MGYG000001314,77
MGYG000001337,255
MGYG000001345,367
MGYG000001346,271
MGYG000001370,226
MGYG000001378,474
MGYG000001422,503
MGYG000001433,336
MGYG000001461,208
MGYG000001661,247
MGYG000002273,418
MGYG000002281,368
MGYG000002300,213
MGYG000002455,513
MGYG000002470,415
MGYG000002549,260
MGYG000002561,257
MGYG000002621,231
MGYG000003064,234
MGYG000003252,543
MGYG000003312,239
MGYG000003351,385
MGYG000003363,225
MGYG000003367,223
MGYG000003681,182
MGYG000003922,179
MGYG000004019,155
MGYG000004185,155
MGYG000004676,73
MGYG000004899,371
