DATASET_HEATMAP
SEPARATOR COMMA
DATASET_LABEL,num_cgc
COLOR,#ff0000
STRIP_WIDTH,70
FIELD_LABELS,num_cgc
COLOR_MIN,#eeeeee
COLOR_MAX,#3d85c6
BORDER_WIDTH,1
BORDER_COLOR,#000000
AUTO_LEGEND,0
LABEL_SHIFT,5
DATA
MGYG000000013,110
MGYG000000029,76
MGYG000000054,67
MGYG000000057,58
MGYG000000098,59
MGYG000000105,59
MGYG000000196,96
MGYG000000211,105
MGYG000000224,57
MGYG000000236,83
MGYG000000265,91
MGYG000000652,40
MGYG000000675,111
MGYG000000788,33
MGYG000001313,63
MGYG000001314,25
MGYG000001337,86
MGYG000001345,95
MGYG000001346,67
MGYG000001370,57
MGYG000001378,107
MGYG000001422,118
MGYG000001433,87
MGYG000001461,69
MGYG000001661,66
MGYG000002273,92
MGYG000002281,89
MGYG000002300,57
MGYG000002455,109
MGYG000002470,94
MGYG000002549,82
MGYG000002561,75
MGYG000002621,58
MGYG000003064,60
MGYG000003252,138
MGYG000003312,70
MGYG000003351,90
MGYG000003363,61
MGYG000003367,67
MGYG000003681,55
MGYG000003922,59
MGYG000004019,49
MGYG000004185,45
MGYG000004676,22
MGYG000004899,95
